"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2020","53","PM2.5","Oakland","06-001-0009","AQS","162","33","60.6","01/01/2001","01/01/2019"
"01/02/2020","43","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","140","21","63.2","01/02/2001","01/02/2002"
"01/03/2020","74","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","142","31","83.4","01/03/2018","01/03/2006"
"01/04/2020","45","PM2.5","Livermore","06-001-0007","AQS","145","31","85.4","01/04/2018","01/04/2007"
"01/05/2020","33","PM2.5","Livermore","06-001-0007","AQS","124","32","55.8","01/05/2001","01/05/2007"
"01/06/2020","35","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","158","33","53.8","01/06/2001","01/06/2008"
"01/07/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","178","33","50.6","01/07/2001","01/07/2017"
"01/08/2020","33","Ozone","San Francisco","06-075-0005","AQS","128","31","56.6","01/08/2010","01/08/2012"
"01/09/2020","32","Ozone","San Francisco","06-075-0005","AQS","95","34","51.4","01/09/2003","01/09/2018"
"01/10/2020","38","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","101","32","51.6","01/10/2012","01/10/2013"
"01/11/2020","37","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","103","26","55.2","01/11/2002","01/11/2000"
"01/12/2020","34","Ozone","San Francisco","06-075-0005","AQS","149","28","51.8","01/12/2004","01/12/2001"
"01/13/2020","35","Ozone","San Francisco","06-075-0005","AQS","104","35","49","01/13/2004","01/13/2007"
"01/14/2020","33","Ozone","Concord","06-013-0002","AQS","122","34","64.6","01/14/2004","01/14/2003"
"01/15/2020","36","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","105","35","69.4","01/15/2005","01/15/2001"
"01/16/2020","35","Ozone","Hayward","06-001-2001","AQS","103","33","66.8","01/16/2010","01/16/2012"
"01/17/2020","38","PM2.5","Concord","06-013-0002","AQS","136","30","64","01/17/2009","01/17/2016"
"01/18/2020","42","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","123","32","58.6","01/18/2004","01/18/2006"
"01/19/2020","44","PM2.5","Redwood City","06-081-1001","AQS","136","35","45.8","01/19/2001","01/19/2018"
"01/20/2020","63","PM2.5","Concord","06-013-0002","AQS","161","33","48","01/20/2001","01/20/2000"
"01/21/2020","33","Ozone","Hayward","06-001-2001","AQS","162","30","49.2","01/21/2001","01/21/2008"
"01/22/2020","37","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","148","32","47.2","01/22/2001","01/22/2002"
"01/23/2020","47","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","118","28","49.2","01/23/2007","01/23/2008"
"01/24/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","149","32","55.8","01/24/2007","01/24/2001"
"01/25/2020","48","PM2.5","San Pablo","06-013-1004","AQS","138","30","52.8","01/25/2007","01/25/2000"
"01/26/2020","36","Ozone","San Pablo","06-013-1004","AQS","123","29","59.8","01/26/2007","01/26/2009"
"01/27/2020","41","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","110","31","56.4","01/27/2007","01/27/2013"
"01/28/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","91","31","63.2","01/28/2015","01/28/2002"
"01/29/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","97","31","57.2","01/29/2000","01/29/2001"
"01/30/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","82","33","55.2","01/30/2009","01/30/2004"
"01/31/2020","55","PM2.5","San Francisco","06-075-0005","AQS","96","32","57.8","01/31/2005","01/31/2004"
"02/01/2020","67","PM2.5","San Francisco","06-075-0005","AQS","114","32","57.8","02/01/2002","02/01/2016"
"02/02/2020","36","Ozone","San Francisco","06-075-0005","AQS","117","31","54.8","02/02/2001","02/02/2006"
"02/03/2020","35","Ozone","San Pablo","06-013-1004","AQS","126","29","51.4","02/03/2009","02/03/2004"
"02/04/2020","34","Ozone","Hayward","06-001-2001","AQS","134","34","55.8","02/04/2005","02/04/2008"
"02/05/2020","46","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","135","31","48.4","02/05/2007","02/05/2003"
"02/06/2020","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","80","31","43.2","02/06/2002","02/06/2015"
"02/07/2020","59","PM2.5","Concord","06-013-0002","AQS","72","31","48.2","02/07/2000","02/07/2017"
"02/08/2020","48","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","95","26","51.4","02/08/2018","02/08/2017"
"02/09/2020","34","Ozone","Oakland West","06-001-0011","AQS","92","28","53.2","02/09/2006","02/09/2007"
"02/10/2020","37","Ozone","Hayward","06-001-2001","AQS","91","31","45.8","02/10/2006","02/10/2009"
"02/11/2020","38","Ozone","Hayward","06-001-2001","AQS","117","31","45.2","02/11/2003","02/11/2009"
"02/12/2020","54","PM2.5","San Francisco","06-075-0005","AQS","100","30","45.8","02/12/2004","02/12/2010"
"02/13/2020","44","PM2.5","San Pablo","06-013-1004","AQS","91","33","47","02/13/2004","02/13/2007"
"02/14/2020","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","84","30","54","02/14/2002","02/14/2003"
"02/15/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","81","35","48","02/15/2001","02/15/2006"
"02/16/2020","38","Ozone","Oakland West","06-001-0011","AQS","73","33","53","02/16/2018","02/16/2002"
"02/17/2020","41","Ozone","Livermore","06-001-0007","AQS","71","29","47.6","02/17/2001","02/17/2004"
"02/18/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","85","33","42.4","02/18/2010","02/18/2002"
"02/19/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","66","25","45.4","02/19/2015","02/19/2002"
"02/20/2020","55","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","57","26","44","02/20/2009","02/20/2002"
"02/21/2020","56","PM2.5","Laney College","06-001-0012","AQS","63","29","46","02/21/2004","02/21/2003"
"02/22/2020","56","PM2.5","San Pablo","06-013-1004","AQS","68","32","41.6","02/22/2002","02/22/2009"
"02/23/2020","36","Ozone","Oakland West","06-001-0011","AQS","74","31","38.8","02/23/2006","02/23/2000"
"02/24/2020","38","PM2.5","San Francisco","06-075-0005","AQS","81","31","45.8","02/24/2006","02/24/2002"
"02/25/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","90","32","50.2","02/25/2006","02/25/2003"
"02/26/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","88","33","41.8","02/26/2006","02/26/2010"
"02/27/2020","58","PM2.5","San Francisco","06-075-0005","AQS","61","32","36.4","02/27/2013","02/27/2009"
"02/28/2020","56","PM2.5","San Francisco","06-075-0005","AQS","63","33","42.8","02/28/2009","02/28/2003"
"02/29/2020","40","Ozone","San Francisco","06-075-0005","AQS","51","36",".","02/29/2008","02/29/2004"
"03/01/2020","38","Ozone","San Pablo","06-013-1004","AQS","56","33","41.6","03/01/2001","03/01/2003"
"03/02/2020","38","Ozone","Oakland West","06-001-0011","AQS","53","30","40.8","03/02/2013","03/02/2000"
"03/03/2020","52","PM2.5","San Francisco","06-075-0005","AQS","62","26","39.8","03/03/2001","03/03/2016"
"03/04/2020","54","PM2.5","San Francisco","06-075-0005","AQS","64","28","42.2","03/04/2002","03/04/2016"
"03/05/2020","52","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","58","29","41.6","03/05/2007","03/05/2003"
"03/06/2020","35","Ozone","San Pablo","06-013-1004","AQS","67","30","46","03/06/2008","03/06/2002"
"03/07/2020","36","Ozone","San Francisco","06-075-0005","AQS","63","34","45.4","03/07/2008","03/07/2000"
"03/08/2020","36","Ozone","Oakland West","06-001-0011","AQS","67","31","41.6","03/08/2005","03/08/2007"
"03/09/2020","37","Ozone","Livermore","06-001-0007","AQS","75","32","46.8","03/09/2005","03/09/2016"
"03/10/2020","35","Ozone","Livermore","06-001-0007","AQS","68","32","47","03/10/2015","03/10/2016"
"03/11/2020","42","Ozone","Bethel Island","06-013-1002","AQS","70","25","47.6","03/11/2004","03/11/2003"
"03/12/2020","46","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","73","24","41.6","03/12/2004","03/12/2003"
"03/13/2020","60","PM2.5","San Pablo","06-013-1004","AQS","82","32","41.6","03/13/2004","03/13/2003"
"03/14/2020","39","Ozone","San Pablo","06-013-1004","AQS","73","28","46.2","03/14/2004","03/14/2011"
"03/15/2020","42","Ozone","San Pablo","06-013-1004","AQS","64","30","42","03/15/2004","03/15/2012"
"03/16/2020","39","Ozone","Bethel Island","06-013-1002","AQS","68","30","43.4","03/16/2010","03/16/2009"
"03/17/2020","35","Ozone","Oakland West","06-001-0011","AQS","68","34","43.4","03/17/2004","03/17/2009"
"03/18/2020","36","Ozone","Hayward","06-001-2001","AQS","65","29","44.8","03/18/2004","03/18/2007"
"03/19/2020","38","Ozone","Redwood City","06-081-1001","AQS","57","26","47","03/19/2019","03/19/2007"
"03/20/2020","39","Ozone","Bethel Island","06-013-1002","AQS","77","34","44.4","03/20/2001","03/20/2007"
"03/21/2020","40","Ozone","Bethel Island","06-013-1002","AQS","70","35","40.8","03/21/2004","03/21/2003"
"03/22/2020","38","Ozone","Livermore","06-001-0007","AQS","58","33","39.4","03/22/2014","03/22/2001"
"03/23/2020","40","Ozone","Bethel Island","06-013-1002","AQS","56","33","43","03/23/2007","03/23/2001"
"03/24/2020","40","Ozone","Bethel Island","06-013-1002","AQS","59","26","44.8","03/24/2013","03/24/2001"
"03/25/2020","40","Ozone","Bethel Island","06-013-1002","AQS","51","28","43","03/25/2016","03/25/2003"
"03/26/2020","37","Ozone","Bethel Island","06-013-1002","AQS","50","37","44","03/26/2015","03/26/2009"
"03/27/2020","46","Ozone","Livermore","06-001-0007","AQS","58","37","44.4","03/27/2009","03/27/2004"
"03/28/2020","53","PM2.5","San Pablo","06-013-1004","AQS","63","31","46.8","03/28/2009","03/28/2001"
"03/29/2020","43","Ozone","Bethel Island","06-013-1002","AQS","65","31","50.6","03/29/2002","03/29/2001"
"03/30/2020","36","Ozone","Livermore","06-001-0007","AQS","80","33","51.2","03/30/2003","03/30/2013"
"03/31/2020","32","Ozone","Redwood City","06-081-1001","AQS","59","33","49","03/31/2009","03/31/2003"
"04/01/2020","39","Ozone","Bethel Island","06-013-1002","AQS","60","38","49","04/01/2018","04/01/2007"
"04/02/2020","37","Ozone","Bethel Island","06-013-1002","AQS","71","34","47.6","04/02/2000","04/02/2013"
"04/03/2020","37","Ozone","Bethel Island","06-013-1002","AQS","58","32","49.2","04/03/2018","04/03/2019"
"04/04/2020","33","Ozone","San Rafael","06-041-0001","AQS","55","32","45.8","04/04/2017","04/04/2000"
"04/05/2020","36","Ozone","San Francisco","06-075-0005","AQS","80","31","46.8","04/05/2009","04/05/2002"
"04/06/2020","36","Ozone","Livermore","06-001-0007","AQS","67","27","46.2","04/06/2016","04/06/2018"
"04/07/2020","39","Ozone","Bethel Island","06-013-1002","AQS","61","34","45.4","04/07/2000","04/07/2019"
"04/08/2020","34","Ozone","San Francisco","06-075-0005","AQS","74","36","46.4","04/08/2014","04/08/2002"
"04/09/2020","35","PM2.5","Concord","06-013-0002","AQS","71","25","43.2","04/09/2012","04/09/2002"
"04/10/2020","38","Ozone","Bethel Island","06-013-1002","AQS","60","32","44.2","04/10/2004","04/10/2002"
"04/11/2020","36","Ozone","San Francisco","06-075-0005","AQS","62","27","43.6","04/11/2004","04/11/2002"
"04/12/2020","55","PM2.5","San Pablo","06-013-1004","AQS","108","34","44.6","04/12/2008","04/12/2006"
"04/13/2020","56","PM2.5","San Pablo","06-013-1004","AQS","133","38","46","04/13/2008","04/13/2000"
"04/14/2020","46","Ozone","Concord","06-013-0002","AQS","60","34","47.4","04/14/2018","04/14/2006"
"04/15/2020","52","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","63","34","46.4","04/15/2014","04/15/2000"
"04/16/2020","36","Ozone","Bethel Island","06-013-1002","AQS","66","31","46.6","04/16/2014","04/16/2011"
"04/17/2020","49","PM2.5","San Pablo","06-013-1004","AQS","87","24","56.2","04/17/2015","04/17/2011"
"04/18/2020","41","Ozone","Bethel Island","06-013-1002","AQS","100","26","63.6","04/18/2016","04/18/2011"
"04/19/2020","41","Ozone","Bethel Island","06-013-1002","AQS","93","34","54.8","04/19/2009","04/19/2012"
"04/20/2020","41","Ozone","Bethel Island","06-013-1002","AQS","90","37","51.8","04/20/2009","04/20/2012"
"04/21/2020","38","Ozone","Bethel Island","06-013-1002","AQS","84","35","47","04/21/2009","04/21/2016"
"04/22/2020","37","Ozone","Bethel Island","06-013-1002","AQS","67","39","54.2","04/22/2018","04/22/2006"
"04/23/2020","39","Ozone","Concord","06-013-0002","AQS","76","33","55.6","04/23/2010","04/23/2012"
"04/24/2020","52","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","64","30","51","04/24/2019","04/24/2012"
"04/25/2020","42","Ozone","Livermore","06-001-0007","AQS","101","24","47.4","04/25/2004","04/25/2012"
"04/26/2020","42","Ozone","San Rafael","06-041-0001","AQS","112","28","48.6","04/26/2004","04/26/2001"
"04/27/2020","41","Ozone","Livermore","06-001-0007","AQS","93","30","47.8","04/27/2004","04/27/2001"
"04/28/2020","39","Ozone","Livermore","06-001-0007","AQS","122","35","49.2","04/28/2007","04/28/2015"
"04/29/2020","34","Ozone","Bethel Island","06-013-1002","AQS","68","41","51.6","04/29/2013","04/29/2005"
"04/30/2020","48","Ozone","Bethel Island","06-013-1002","AQS","119","36","56.8","04/30/2014","04/30/2001"
"05/01/2020","47","Ozone","Bethel Island","06-013-1002","AQS","126","36","63.6","05/01/2014","05/01/2009"
"05/02/2020","31","Ozone","Hayward","06-001-2001","AQS","122","37","59.4","05/02/2004","05/02/2003"
"05/03/2020","45","Ozone","Bethel Island","06-013-1002","AQS","115","31","48","05/03/2013","05/03/2009"
"05/04/2020","51","Ozone","Concord","06-013-0002","AQS","77","31","45.8","05/04/2013","05/04/2005"
"05/05/2020","44","Ozone","Bethel Island","06-013-1002","AQS","90","27","44","05/05/2011","05/05/2009"
"05/06/2020","48","Ozone","Bethel Island","06-013-1002","AQS","105","31","48.6","05/06/2001","05/06/2009"
"05/07/2020","58","Ozone","Concord","06-013-0002","AQS","97","32","44.8","05/07/2007","05/07/2000"
"05/08/2020","93","Ozone","Livermore","06-001-0007","AQS","122","25","48.2","05/08/2001","05/08/2000"
"05/09/2020","47","Ozone","Livermore","06-001-0007","AQS","71","36","48","05/09/2012","05/09/2019"
"05/10/2020","56","PM2.5","San Pablo","06-013-1004","AQS","108","40","48.6","05/10/2001","05/10/2005"
"05/11/2020","42","Ozone","Livermore","06-001-0007","AQS","77","36","47.4","05/11/2012","05/11/2005"
"05/12/2020","41","Ozone","Bethel Island","06-013-1002","AQS","80","36","44.4","05/12/2002","05/12/2005"
"05/13/2020","34","Ozone","Bethel Island","06-013-1002","AQS","100","35","41.8","05/13/2014","05/13/2005"
"05/14/2020","33","Ozone","Bethel Island","06-013-1002","AQS","133","32","39.6","05/14/2014","05/14/2005"
"05/15/2020","41","Ozone","Livermore","06-001-0007","AQS","80","31","42","05/15/2014","05/15/2001"
"05/16/2020","32","Ozone","San Francisco","06-075-0005","AQS","133","36","40.8","05/16/2009","05/16/2004"
"05/17/2020","36","Ozone","San Francisco","06-075-0005","AQS","150","31","43.6","05/17/2009","05/17/2004"
"05/18/2020","43","PM2.5","San Pablo","06-013-1004","AQS","80","28","48.8","05/18/2003","05/18/2005"
"05/19/2020","38","Ozone","Bethel Island","06-013-1002","AQS","108","31","48.6","05/19/2001","05/19/2005"
"05/20/2020","40","Ozone","Bethel Island","06-013-1002","AQS","97","35","43","05/20/2000","05/20/2016"
"05/21/2020","38","Ozone","Bethel Island","06-013-1002","AQS","115","34","47","05/21/2000","05/21/2006"
"05/22/2020","43","Ozone","Bethel Island","06-013-1002","AQS","172","31","48","05/22/2000","05/22/2016"
"05/23/2020","53","PM2.5","San Pablo","06-013-1004","AQS","77","32","43.2","05/23/2008","05/23/2016"
"05/24/2020","59","PM2.5","San Pablo","06-013-1004","AQS","80","27","35.2","05/24/2007","05/24/2003"
"05/25/2020","57","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","87","29","37.6","05/25/2005","05/25/2003"
"05/26/2020","58","Ozone","Livermore","06-001-0007","AQS","68","26","42.6","05/26/2009","05/26/2000"
"05/27/2020","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","74","26","46.2","05/27/2003","05/27/2002"
"05/28/2020","45","Ozone","Livermore","06-001-0007","AQS","97","28","56.6","05/28/2003","05/28/2002"
"05/29/2020","35","Ozone","Livermore","06-001-0007","AQS","87","36","55.6","05/29/2001","05/29/2003"
"05/30/2020","31","Ozone","Bethel Island","06-013-1002","AQS","105","31","50.8","05/30/2001","05/30/2019"
"05/31/2020","46","PM2.5","San Pablo","06-013-1004","AQS","133","29","55.2","05/31/2001","05/31/2006"
"06/01/2020","44","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","97","22","47","06/01/2003","06/01/2006"
"06/02/2020","61","Ozone","Livermore","06-001-0007","AQS","147","21","62.2","06/02/2003","06/02/2006"
"06/03/2020","71","Ozone","Livermore","06-001-0007","AQS","115","30","64.6","06/03/2016","06/03/2007"
"06/04/2020","64","Ozone","Bethel Island","06-013-1002","AQS","126","26","77.4","06/04/2016","06/04/2010"
"06/05/2020","45","PM2.5","San Pablo","06-013-1004","AQS","68","33","60.2","06/05/2017","06/05/2000"
"06/06/2020","35","Ozone","Bethel Island","06-013-1002","AQS","74","29","49.6","06/06/2002","06/06/2010"
"06/07/2020","31","Ozone","Bethel Island","06-013-1002","AQS","122","30","54.4","06/07/2013","06/07/2000"
"06/08/2020","35","Ozone","Concord","06-013-0002","AQS","108","23","54","06/08/2015","06/08/2005"
"06/09/2020","44","Ozone","Livermore","06-001-0007","AQS","80","24","43","06/09/2014","06/09/2009"
"06/10/2020","40","Ozone","Bethel Island","06-013-1002","AQS","140","30","62.4","06/10/2019","06/10/2005"
"06/11/2020","28","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","150","33","73.2","06/11/2019","06/11/2009"
"06/12/2020","41","Ozone","Bethel Island","06-013-1002","AQS","126","28","84.6","06/12/2019","06/12/2000"
"06/13/2020","32","Ozone","Bethel Island","06-013-1002","AQS","97","30","51.6","06/13/2008","06/13/2011"
"06/14/2020","26","Ozone","Livermore","06-001-0007","AQS","108","32","51.8","06/14/2000","06/14/2019"
"06/15/2020","34","Ozone","Bethel Island","06-013-1002","AQS","209","33","48.6","06/15/2000","06/15/2019"
"06/16/2020","39","Ozone","Bethel Island","06-013-1002","AQS","151","29","48.8","06/16/2001","06/16/2005"
"06/17/2020","38","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","93","32","55","06/17/2001","06/17/2016"
"06/18/2020","61","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","100","30","53.6","06/18/2001","06/18/2003"
"06/19/2020","46","Ozone","Livermore","06-001-0007","AQS","105","37","48.4","06/19/2001","06/19/2003"
"06/20/2020","32","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","140","34","56.2","06/20/2001","06/20/2005"
"06/21/2020","35","PM2.5","San Pablo","06-013-1004","AQS","147","31","67.8","06/21/2011","06/21/2007"
"06/22/2020","44","Ozone","Livermore","06-001-0007","AQS","156","26","72.4","06/22/2006","06/22/2012"
"06/23/2020","44","Ozone","Livermore","06-001-0007","AQS","190","27","53.8","06/23/2006","06/23/2013"
"06/24/2020","41","Ozone","Livermore","06-001-0007","AQS","122","33","51","06/24/2008","06/24/2017"
"06/25/2020","38","Ozone","Livermore","06-001-0007","AQS","108","24","56.6","06/25/2003","06/25/2014"
"06/26/2020","41","Ozone","Livermore","06-001-0007","AQS","172","29","58.8","06/26/2003","06/26/2017"
"06/27/2020","43","PM2.5","San Pablo","06-013-1004","AQS","140","19","47.2","06/27/2009","06/27/2001"
"06/28/2020","56","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","119","20","50","06/28/2009","06/28/2011"
"06/29/2020","58","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","84","23","57.2","06/29/2005","06/29/2002"
